매점에서 주로 구매하는 제품은 무엇인가요?,주로 구매하는 제품의 이름은 무엇인가요?,학생들이 매점을 이용하는 이유는 무엇이라고 생각하나요?,"매점에서 판매되는 상품의 가격은 어떻게 결정되며, 가격 변화가 매출에 미치는 영향은 무엇이라고 생각하나요? ","매점 사용과 경제 활동 간의 연관성이 있다면, 어떠한 부분에서 연관성이 있다고 볼 수 있나요? (예: 소비자인 학생과 공급자인 사장님 간의 교류)"
음료수를 가장 자주 구매하고 그 중에서 ICE+를 가장 많이 구매한다.,,학생들이 매점을 이용하는 가장 큰 원인은 학교에서 군것질을 남 눈치 안보고 할 수 있는 장소가 매점이 유일하기 때문이라고 생각한다. 예를 들면 배달음식을 시키는 것이 금지 되어있는것 처럼 밖에서 음식을 시킬 수는 없으므로 학생들은 자연스레 학교 내에 있는 매점을 이용하게 되는 것 같다.,아무래도 매점이 학교 내에서는 독점시장의 형태이다보니 원래 시장의 균형가격보다 살짝 더 높게 결정되는 감이 없지 않아 있다고 생각한다. 또 아마 가격을 더 올린다고 해서 수요가 크게 줄지 않는 비탄력성을 가지고 있다고 생각한다.,나도 그렇게 생각한다. 학교내에서 경제 활동이 일어난다고 할 수 있는 곳이 매점밖에 없고 또 학교 내에서 일어나는 경제 활동 중 가장 큰 규모이기 때문이라고 생각한다.
음료수,아이스 플러스,더운 날씨와 식욕,사장님 마음,아주 좋다고 생각함
음료수,ice+,공부에 스트레스 많이 받는 원인(다른 말로는 기분전환),매점에서 판매되는 상품의 가격들이 평균적으로 편의점이나 가격이랑 비슷하게 된 것 같고 가격이 변화 증가하면  소비자도 부담스럽고 매출이 덜어진다.반면에 매출 감소하면 판매자에게 소득이 감소 할 것이라고 생각한다,저는 요즘 사회에서 스마트폰으로 결제가 가능한 카드앱들이 가장 활발하게 일어나는 곳이라고 생각합니다.
"젤리, 음료수, 피자빵",보성 아이스티,"우리 학교 학생들이 매점을 이용하는 원인은 독점이라고 생각을 합니다. 왜냐하면 우리 학교엔 음식을 파는 곳이라고는 급식실과 매점인데, 급식실에서 밥을 먹어도 출출하면 갈 곳이 매점 밖에 없기 때문입니다. 또한 음료수 가격은 각종 편의점의 가격과 비슷하기에 학생들이 불편함 없이 사용한다고 생각을 합니다. 마지막 원인은 학교에서 주는 매점 상품권도 한 몫한다고 생각을 합니다. 학교에서는 돈을 직접적으로 주는 대신에 매점 상품권을 주는데 이 때문에 학생들이 매점을 사용한다고 생각이 됩니다.","매점에서 판매되는 상품의 가격은 당연히 수요량, 소비량 등에 요소에 결정이 될 것 같습니다. 많이 팔리면 가격을 올리고 많이 안 팔리면 가격을 내리는 방식으로 결정이 되는 방식일 것 같습니다. 하지만 예를 들어 그린티과 같은 음료수가 현재 만동인데 너무 잘 팔려서 천동만 올려도, 많은 학생들이 부담이 될 것 같아 많이 안 사게 되고, 부담이 많이 되어 결국 매출이 떨어지는  결과가 나올 것이라 생각이 됩니다.","매점 사용과 경제 활동 간의 연관성은 여러 부분에서 연관성이 있다고 생각이 됩니다. 우선, 학생들은 매점에서 필요한 상품을 구매하고, 사장님은 이를 통해 수익을 얻으므로, 소비자인 학생과 공급자인 사장님 간의 교류가 이루어지는 경제활동이 있다고 생각이 됩니다. 또한 수요와 공급의 원리가 적용이 되어 학생들이 많이 찾는 상품은 더 많이 공급되고, 인기가 없는 상품은 공급이 줄어드는 매커니즘이 작용을 하기에, 이러한 요소들로 인해 매점 사용과 경제 활동은 밀접하게 연관되어 있다고 생각이 됩니다."
"음료수, 물","ice + , green tea , aqauafina",학생들이 배를 채우거나 필요한 물품을 사는 등 각자의 만족도를 채우기 위해,시세가 올라감에 따라 가격도 같이 올라가고 가격이 올라가면 당연히 매출은 늘어나겠지만 예전의 가격을 그리워 하는 학생들도 있을 것이라 생각한다.,저도 그리 생각합니다. 애초에 저희가 물건을 사고 파는 곳이 매점 밖에 없고 경제 활동이 여기서 가장 활발하게 이루어지기 때문에 매점이나 예외로는 학교 앞 ATM 기계 밖에 없는 듯 합니다.
음료수,밀크티,학생들이 출출할 때 이용할 수 있는 것이 매점 하나 밖에 없어서,"물가가 오르거나 내릴 때 매점 상품의 가격도 함께 바뀐다. (사실 오르기만 함) 가격이 오른다고 매출이 오르는 것이 아니라, 이윤을 얼마나 챙기느냐에 따라 매출이 변하기 때문에 그 부분은 알 수 없다.",매점은 독과점 형태로 학생들이 이용할 수 있는 것이 매점 뿐이라 그곳에서 나쁜 마음을 먹고 가격을 올리면 그것을 해결할 방법이 없다.
"음료수, 과자",데미소다 사과맛,"공부할 때 집중력 향상 시키게 위해 달달한 간식으로 보충.
",상품은 아마 임대료와 직우너들 월급과 전기세 등과 제품을 구매할 때 드는 비용등이 끼치는 것 같다고 샹각해요.,소비자 물건 소비-> 사장님 돈 범 -> 다시 물건 삼 따라서 반복.
아이수쿠림,초코퍼지,돈쓸데가 학교에서 거기밖에 없음,그냥 한국제품은 ㅈㄴ 뻥튀기하고 베트남 제품은 그냥 거기서 거기임 왜인지는 모름,이달의 매출
아이스크림,옥동자,배를 채우는곳,그 상품의 가격에서 이익이 되게끔 가격을 조정하는것이라고 생각함,소비자인 학생과 공급자인 사장님간의 교류
음료수,그린티,입이 심심해서,수요와 공급,실제 돈을 사용하는 행위
